,day,time_in_hours,average_amplitude,average_phase,amplitude_STD,phase_STD,label
0,2014-01-01,4.0,-64.0868,1.1496,-64.0868,1.0905,0
1,2014-01-01,8.0,-67.0467,0.9296,-67.0467,1.0905,0
2,2014-01-01,12.0,-58.7285,0.6417,-58.7285,1.0905,0
3,2014-01-01,16.0,-59.9761,1.3569,-59.9761,1.0905,0
4,2014-01-01,20.0,-59.498,0.6106,-59.498,1.0905,0
5,2014-01-01,24.0,-64.7713,3.7774,-64.7713,1.0905,0
6,2014-01-02,4.0,-62.5105,1.4006,-62.5105,0.9481,0
7,2014-01-02,8.0,-65.352,0.8745,-65.352,0.9481,0
8,2014-01-02,12.0,-57.8692,-1.0994,-57.8692,0.9481,0
9,2014-01-02,16.0,-58.2333,0.2995,-58.2333,0.9481,0
10,2014-01-02,20.0,-59.3525,-0.4179,-59.3525,0.9481,0
11,2014-01-02,24.0,-63.6264,-1.0928,-63.6264,0.9481,0
12,2014-01-03,4.0,-63.0352,0.6437,-63.0352,0.9622,0
13,2014-01-03,8.0,-65.7904,-0.1175,-65.7904,0.9622,0
14,2014-01-03,12.0,-60.3637,-0.5426,-60.3637,0.9622,0
15,2014-01-03,16.0,-57.5061,-1.1214,-57.5061,0.9622,0
16,2014-01-03,20.0,-57.3282,-1.6215,-57.3282,0.9622,0
17,2014-01-03,24.0,-64.8302,1.1691,-64.8302,0.9622,0
18,2014-01-04,4.0,-62.8046,-0.0511,-62.8046,2.6207,1
19,2014-01-04,8.0,-65.1149,1.1425,-65.1149,2.6207,1
20,2014-01-04,12.0,-58.1146,-1.2491,-58.1146,2.6207,1
21,2014-01-04,16.0,-58.5555,0.3942,-58.5555,2.6207,1
22,2014-01-04,20.0,-59.159,-0.2891,-59.159,2.6207,1
23,2014-01-04,24.0,-65.5349,6.7514,-65.5349,2.6207,1
24,2014-01-05,4.0,-63.7166,1.3309,-63.7166,1.6914,1
25,2014-01-05,8.0,-66.1728,0.4054,-66.1728,1.6914,1
